site,plot,_TYPE_,_FREQ_,aspect,SlopeDeg,PlotYOD,avgdbh,avgheight,avgscorch,OL,Litter,Ashdepth,PCntcover,PercentGravimetricSoilmoisture,DOC_fum,TDN_fum,DOC,TDN,MicrobialBiomassC,MicrobialBiomassTDN,MONTH,EFFLUX,RHcmbr,Tsoil_C,Tair,Status,BB,BURN,YOD,SampleDate,SAMPLEIDPLOT,GalleryNumber,pH,BG_4C,CB_4C,NAG_4C,PHOS_4C,XYL_4C,AG_4C,LAP_4C,BG_15C,CB_15C,NAG_15C,PHOS_15C,XYL_15C,AG_15C,LAP_15C,BG_25C,CB_25C,NAG_25C,PHOS_25C,XYL_25C,AG_25C,LAP_25C,BG_35C,CB_35C,NAG_35C,PHOS_35C,XYL_35C,AG_35C,LAP_35C,plot1,merger
FEF,114,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2006,09/22/2012,Plot114,144,4.79,9.129192266,2.2171395,7.368913268,39.35866785,1.328037277,1.163123155,1.183002636,66.75469484,36.95304301,61.63971451,288.3527945,32.11372031,32.42000656,2.067295587,297.402375,120.6139533,271.0617578,1135.034003,173.9077603,155.408071,8.855439382,417.3440693,193.1425366,352.901443,1324.808962,179.4209127,166.6794049,12.48324093,114,114
FEF,115,7,12,,,,,,,,,,,,,,,,,,7,3.1364619288,27.530641497,10.855551719,33.331627529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,115
FEF,115,7,12,,,,,,,,,,,,,,,,,,8,4.4074816764,76.394437229,11.524848746,22.97945563,UBB,YES,UNBUR,2006,08/26/2013,FEF115,71,4.37,45.90464474,16.50905577,8.418526693,80.1725301,6.189136459,4.049640993,1.431680709,135.7088535,42.02899146,34.07695466,255.3951216,29.97922142,20.64774967,1.498482,372.4346255,134.684954,119.9168857,747.640933,89.73160315,67.49835742,4.118195968,526.1788371,184.2903064,113.8125041,917.010286,109.7190964,61.84402363,5.439973493,115,115
FEF,115,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2006,09/22/2012,Plot115,145,4.52,31.51654675,18.29697199,15.3188543,60.94866742,4.928862679,6.993492895,1.039031275,140.7198945,48.39397425,42.28036113,306.8236545,41.08872467,37.35838446,1.854691166,564.9519892,213.6782859,254.9192694,961.8187395,162.0752463,176.9966072,7.317422341,688.2604573,302.3774865,313.7757483,1343.556888,197.7207195,137.828035,11.29649769,115,115
FEF,116,7,12,,,,,,,,,,,,,,,,,,7,2.6981053725,25.169512036,11.288679187,31.429640135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,116
FEF,116,7,12,,,,,,,,,,,,,,,,,,8,3.7221033561,69.969487175,11.405909284,24.586392722,UBB,YES,UNBUR,2007,08/26/2013,FEF116,72,5.29,50.22150302,16.07222691,32.56392027,159.533035,9.847881984,5.306554793,4.836238237,139.9524715,41.42449786,74.20585354,529.7425606,38.39003856,14.98792069,7.529465624,579.3039883,161.6520457,433.0982224,2499.84086,133.146519,86.25032995,30.0602855,765.0496783,233.375629,443.0291801,2876.481626,151.721088,231.3526561,58.53764984,116,116
FEF,116,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2007,09/22/2012,Plot116,146,4.79,14.68371436,4.918087668,4.131557329,27.05369152,1.686575692,1.123991804,0.991034917,159.5318131,38.27937806,44.53701864,359.6703266,27.29374236,16.95704717,2.003158381,637.5123874,165.5011261,194.3997748,1230.447072,113.4425676,62.40878378,8.714427273,952.7331081,305.4853604,297.0822072,1693.64527,135.9876126,59.74436937,14.14713458,116,116
FEF,117,7,12,,,,,,,,,,,,,,,,,,7,5.1405753049,20.088590213,11.64975516,32.444983006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,117
FEF,117,7,12,,,,,,,,,,,,,,,,,,8,6.3714807406,72.829468753,11.75313676,23.677759171,UBN,NO,UNBUR,0,08/26/2013,FEF117,73,5.09,17.82702172,5.766644888,6.178294019,38.25236028,1.970020728,2.633712189,2.705539325,36.49947763,2.080239548,9.117455594,161.5836083,3.537163183,7.095670394,5.360009461,182.1866655,22.01054253,37.09077821,545.267251,11.67463146,41.30790841,21.01746941,201.3320508,48.22577974,35.70012687,533.9050046,66.98015771,42.01223175,31.80991249,117,117
FEF,117,,,,,,,,,,,,,,,,,,,,9,,,,,UBN,NO,UNBUR,0,09/22/2012,Plot117,147,4.85,34.34709805,8.000411243,65.15377956,168.1297189,13.71747008,3.144355242,2.1206872,165.5327035,24.27107558,173.2042151,612.6627907,38.29142442,58.85901163,2.862007519,537.5348837,116.67351,600.9622944,2068.927326,178.0120011,113.1073186,11.64551986,645.2005814,175.6511628,933.8081395,2419.965116,277.497093,199.1947674,18.3519437,117,117
